timestamp,state
2019.04.17 00:35:46,sleep start
2019.04.17 01:41:45,sleep end
2019.04.17 01:45:23,sleep start
2019.04.17 04:31:06,sleep end
2019.04.17 04:35:41,sleep start
2019.04.17 06:22:41,sleep end
2019.04.17 06:47:53,sleep start
2019.04.17 08:14:07,sleep end
2019.04.17 08:20:19,toilet start
2019.04.17 08:21:18,toilet end
2019.04.17 08:25:14,hygiene start
2019.04.17 08:26:20,hygiene end
2019.04.17 08:26:31,cook start
2019.04.17 08:53:52,cook end
2019.04.17 08:54:30,eat start
2019.04.17 09:01:03,eat end
2019.04.17 09:46:00,leave start
2019.04.17 09:46:14,leave end
2019.04.17 09:47:28,enter start
2019.04.17 09:47:42,enter end
2019.04.17 09:53:29,relax start
2019.04.17 10:09:49,relax end
2019.04.17 10:41:31,bath start
2019.04.17 11:00:00,bath end
2019.04.17 11:06:19,relax start
2019.04.17 11:25:00,relax end
2019.04.17 11:26:45,enter start
2019.04.17 11:27:03,enter end
2019.04.17 11:27:16,relax start
2019.04.17 11:41:30,relax end
2019.04.17 11:41:40,leave start
2019.04.17 11:41:51,leave end
2019.04.17 12:14:04,enter start
2019.04.17 12:14:15,enter end
2019.04.17 12:15:34,hygiene start
2019.04.17 12:16:29,hygiene end